URL,article,news_content
https://vnexpress.net/nhung-mon-an-truyen-thong-cho-mua-dong-nuoc-phap-4544228.html,Những món ăn truyền thống cho mùa đông nước Pháp,"Súp hành tây

Nếu đã ngán với những món nhiều thịt, thực khách có thể nghĩ đến súp hành tây. Giống bouillabaisse vì từng là món ăn dành cho người nghèo, ngày nay súp hành tây là thứ không thể thiếu tại các nhà hàng. Thành phần gồm hành tây, nước thịt hầm, bơ, phô mai, bánh mì nướng và gia vị. Món ăn được ninh nhừ, và hành tây phải được chế biến có màu caramel (nhưng không cháy), dậy mùi thơm. Bánh mì được cho thẳng vào nước sốt và đun mềm. Ảnh: Spruce Eat"
https://vnexpress.net/quan-bun-mam-gan-10-nam-hut-khach-sai-gon-4544255.html,Quán bún mắm gần 10 năm hút khách Sài Gòn,"Quán bún mắm nằm trên đường Nguyễn Thiện Thuật, quận 3, là địa chỉ quen thuộc của nhiều thực khách Sài Gòn gần chục năm nay.

Chị Châu, chủ quán, chia sẻ bún mắm có nguồn gốc từ Campuchia, được người dân nơi đây nấu từ mắm bò hóc. Khi du nhập vào Việt Nam, món ăn được biến tấu, nấu bằng các loại mắm địa phương như cá linh, cá sặc, hoặc cá chốt... Đây là những loại cá có nhiều tại miền Tây, đặc biệt ở các tỉnh Cần Thơ, Trà Vinh, Sóc Trăng, Bạc Liêu, An Giang...

Thực khách sẽ cảm nhận hương vị trọn vẹn của món ăn khi chấm từng loại nguyên liệu vào chén mắm me đậm đà có thêm chút ớt cay the. Ảnh: Khánh Thiện

Món bún mắm theo khẩu vị miền Tây có nguyên liệu khá dễ tìm và cách nấu không quá khó, song đòi hỏi biết cách phối hợp sao cho thật khéo léo. Theo chị Châu, người miền Tây xem phần nước lèo là linh hồn của món bún mắm. Để có nước lèo ngon, trước hết sẽ dùng một chiếc nồi nhỏ, cho các loại mắm như sặc, linh... vào, rồi thêm nước, đem nấu sôi trên lửa vừa, đến khi thịt rục ra.

Đặt nồi lớn trên bếp, cho dầu ăn, hành tím và tỏi băm vào xào đến khi dậy mùi thơm, tiếp theo cho ngải bún, sả băm vào xào. Dùng rây lọc phần xương của mắm, đổ hết phần nước mắm đã chín rục trong nồi nồi lớn. Đặc biệt, người miền Tây cho thêm vào mắm nước dừa để nấu nước lèo vị đậm đà, ngọt thơm.

Nồi nước lèo khi sôi sẽ tiếp tục cho từng phần mực, tôm... vào chần chín rồi vớt ra đĩa. Cuối cùng, cắt cà tím cho vào nồi nước lèo, nêm nếm lại vừa ăn.

Khi khách gọi món, chủ quán sẽ cho bún ra tô, thêm thịt quay, tôm, mực, chả cá... rồi chan nước lèo đang sôi. Bún mắm phải ăn kèm đĩa rau gồm rau muống chẻ, giá đỗ, rau đắng, bông súng, kèo nèo... mới đúng điệu. Ngoài ra, để món ăn thêm đậm đà, nhất định không thể thiếu chén mắm me chua ngọt.

Tô bún mắm bốc khói, điểm xuyết hải sản tươi, dậy mùi thơm ăn kèm đĩa rau ghém, vắt thêm chút chanh cho dậy mùi. Thực khách có thể yêu cầu chủ quán chần chín rau hoặc ăn sống tùy thích. Các đồ nêm nếm cũng được bày sẵn ở góc bàn cho khách tự gia giảm theo sở thích.

Là người miền Tây nên anh Tiến Dũng (42 tuổi, ở quận 3) đặc biệt rất thích món bún mắm. Anh chia sẻ hầu như tuần nào cũng đến quán thưởng thức món ăn này vì mắm thơm đậm đà, hải sản tươi, hợp khẩu vị.

Quán bày trí bắt mắt, hút thực khách. Ảnh: Khánh Thiện

Quán mở cửa 7h30 đến 20h30, trung bình bán hơn 50 kg bún mỗi ngày, với hai loại giá gồm 65.000 đồng tô thường và 75.000 đồng tô đặc biệt.

Tuy nằm mặt tiền dễ tìm, song chỗ đậu xe hạn chế nếu khách đi giờ cao điểm, bởi quán luôn kín bàn. Nếu không thích ngồi tại chỗ, khách cũng có thể mua mang về hoặc đặt qua các ứng dụng, với suất ăn được chuẩn bị mới và nóng.

Khánh Thiện"
https://vnexpress.net/dau-si-gia-lua-tien-du-khach-xuat-hien-tran-lan-o-rome-4544332.html,Đấu sĩ giả lừa tiền du khách xuất hiện tràn lan ở Rome,"ItalyMột du khách đã báo cảnh sát sau bị ép trả hơn 500 USD tiền chụp ảnh cùng các đấu sĩ giả bên ngoài Đấu trường La Mã.

Đại diện cảnh sát Rome đã xử lý ba người đàn ông chuyên đóng đấu sĩ giả, lừa ép khách du lịch chụp ảnh với giá cao, cuối tuần qua. Hai trong ba kẻ này đang bị quản thúc tại nhà, người còn lại bị bắt giữ.

Hình thức lừa đảo của những kẻ này giống nhau. Họ ăn mặc giống các đấu sĩ thời xưa, xuất hiện quanh đấu trường La Mã, mời khách du lịch chụp ảnh và ép phải trả giá cao. Nếu du khách từ chối, họ sẽ bao vây, đe dọa và ép trả tiền.

Đấu trường La Mã, nơi xảy ra nhiều vụ lừa đảo khách du lịch. Ảnh: CNN

Một du khách Anh từng bị ép trả 500 euro cho một lần chụp ảnh, một người Ireland bị đòi 200 euro. Khi người này nói không có tiền, những kẻ lừa đảo đã ép anh đến máy rút tiền và thu tổng cộng 250 euro. Không chỉ khách ngoại mà chính người Italy từ nơi khác tới cũng gặp trường hợp tương tự, phải trả 40 euro.

Đây không phải lần đầu những kẻ lừa đảo bị bắt vì đòi tiền khách du lịch. Hồi tháng 1, cảnh sát địa phương đã phạt hai người mặc quần áo thời La Mã 13.500 euro, sau khi bắt quả tang họ đang thu tiền khách du lịch. Trang phục đóng giả cũng bị tịch thu.

Việc đóng giả làm binh lính hay đấu sĩ thành Rome và thu tiền từ khách muốn chụp chung không còn là điều lạ ở Italy. Tuy nhiên, việc ép khách chụp chung phải trả tiền là bất hợp pháp. Vì vậy, nếu gặp trường hợp này, khách nên trình báo cảnh sát để được giúp đỡ.

Anh Minh (Theo CNN)"
https://vnexpress.net/la-duong-xi-an-hien-tren-ho-chieu-new-zealand-4544263.html,Lá dương xỉ ẩn hiện trên hộ chiếu New Zealand,"Khi chạm tay vào, lá dương xỉ in trên trang thông tin cá nhân của hộ chiếu New Zealand sẽ biến mất.

New Zealand vừa công bố hộ chiếu phiên bản mới, với hình ảnh lá dương xỉ nhỏ màu xanh, biểu tượng của quốc gia này bên cạnh chim kiwi. Khi cần kiểm tra độ thật giả của tấm hộ chiếu, nhân viên xuất nhập cảnh tại cửa khẩu chỉ cần đặt ngón tay lên chiếc lá. Nếu hộ chiếu thật, lá dương xỉ sẽ biến mất.

Lá dương xỉ này được in bằng mực công nghệ nhiệt sắc, sẽ thay đổi màu dựa trên nhiệt độ. Đó là lý do khi chạm ngón tay vào, nhiệt độ tăng lên, lá dương xỉ đổi màu, trở nên vô hình. Nhiều du khách sau khi biết điều này tỏ ra thích thú. Họ còn gọi đây là ""ma thuật"".

Cây dương xỉ màu xanh dương trên hộ chiếu công dân New Zealand. Ảnh: Stuff

New Zealand cho biết việc áp dụng công nghệ vào hộ chiếu là điều cần thiết trong bối cảnh nhu cầu đi lại ngày càng tăng. Công nghệ bảo mật mới sẽ được thực hiện vài năm một lần. Động thái này nhằm chống lại những kẻ lừa đảo tìm cách đánh cắp hộ chiếu New Zealand.

Đại diện Bộ Nội vụ, bà Maria Robertson, cho biết nếu một cuốn hộ chiếu bị cấp sai quy trình, hay công dân báo mất, họ sẽ tiến hành điều tra. Năm nay, người dân nước này có nhu cầu cấp hộ chiếu mới hoặc gia hạn tăng gần gấp 3 so với hai năm dịch bệnh. Trung bình mỗi tháng, họ cấp từ 40.000 đến 50.000 hộ chiếu. Thời gian cấp cũng được rút ngắn, từ 20 ngày xuống còn 5.

Anh Minh (Theo Stuff)"
https://vnexpress.net/23-ngay-o-nam-cuc-cua-du-khach-viet-4543792.html,23 ngày ở Nam Cực của du khách Việt,"Hoàng Phụng Hiếu vừa hoàn thành hành trình được anh gọi là ""khó quên trong đời"" tới Nam Cực với nhiều cảm xúc.

Hoàng Phụng Hiếu, 37 tuổi, Phó giám đốc một công ty tại Hà Nội, vừa trở về từ Nam Cực sau 23 ngày. ""Tôi rất ấn tượng với câu nói của nhà tự nhiên học người Anh David Attenborough: 'Sẽ không ai bảo vệ cái họ không quan tâm, và không ai quan tâm cái họ chưa bao giờ được trải nghiệm thực tế'. Chỉ khi chúng ta xách balo lên đường, trải nghiệm các vùng đất tươi đẹp thì mới nhận ra thế giới này đẹp đẽ ra sao. Và từ đó, chúng ta mới ý thức hơn trong việc cùng nhau bảo vệ trái đất"", anh Hiếu chia sẻ về lý do đến Nam Cực.

Anh Hiếu chụp tại Yankee Harbour, châu Nam Cực hôm 6/11.

Nhóm có ba người, ngoài anh Hiếu còn có hai người bạn là Lê Sỹ Hào và Vũ Văn Chính, khởi hành từ Việt Nam ngày 20/10 và trở về vào 11/11. Họ bay sang Chile, rồi đến tiếp thành phố Stanley, thủ phủ quần đảo Falkland (lãnh thổ hải ngoại thuộc Anh). Từ đây, nhóm lên tàu thám hiểm đến đảo South Georgia, tới châu Nam Cực, băng qua eo biển Drake để ghé Ushuaia, thành phố tận cùng thế giới và bay về Việt Nam, kết thúc một vòng tròn khép kín. Trong hành trình 23 ngày, anh Hiếu mất 5 ngày bay đi và về, chỉ có 18 ngày khám phá Nam Cực đúng nghĩa.

Con tàu anh Hiếu khám phá Nam Cực là Greg Mortimer, hãng Aurora. Tàu có sức chứa 132 khách, nhưng chuyến đi của anh chỉ có 70 người đến từ khắp thế giới. Có hơn 50 thủy thủ đoàn và 24 nhà khoa học quốc tịch Australia, Nga, Anh, Pháp, Argentina, Brazil... Các nhà khoa học làm nhiệm vụ hỗ trợ cho khách trong suốt hành trình khám phá, lái xuồng cao su đưa khách lên các đảo, cách chụp ảnh ở Nam Cực sao cho đẹp nhất... Trên tàu có nhiều phòng chức năng, phục vụ nhu cầu ăn, chơi, giải trí của du khách như phòng đọc sách, tập gym, phòng lưu niệm, quán bar, phòng hội thảo...

Florence, trưởng nhóm thám hiểm trên tàu, đang đẩy xuồng cao su cho khách.

Hành trình di chuyển của nhóm khá dày, mỗi ngày sẽ ghé thăm 1-2 điểm. Điểm đầu tiên là vịnh Grave Code, nằm ngoài khơi quần đảo Falkland. Để đến được nơi này, du khách phải rời tàu lớn để xuống xuồng cao su. Grave Cove có địa hình đồi thoải, phủ kín rêu và cỏ.

Điểm đến khiến anh Hiếu háo hức nhất là đảo South Georgia, nằm ở phía nam Đại Tây Dương. Trước khi đến, anh đã đọc tài liệu và được biết, đây là nhà của quần thể chim cánh cụt vua lớn nhất thế giới, với hơn nửa triệu con. Ngoài ra, nơi này còn có các loại động vật quý hiếm khác như chim cánh cụt, hải cẩu, cá voi...

Thông thường, thời gian di chuyển đến South Georgia mất hai ngày. Nhưng hôm anh Hiếu ghé thăm, gió lớn, xuồng cao su chở khách không đảm bảo an toàn. Vì vậy, họ phải ở thêm trên tàu một ngày để đợi hôm sau, thời tiết thuận lợi mới có thể ghé thăm.

""Cầm cờ tổ quốc chụp ảnh tại một trong những hòn đảo xa xôi, ít người đặt chân tới này cũng là một trong những khoảnh khắc khiến tôi tự hào"", nam du khách Việt nói về cảm xúc khi đến South Georgia. Anh Hiếu tiết lộ hướng dẫn viên nói rằng nhóm anh là những người Việt đầu tiên đặt chân đến quần đảo này. Dù thông tin chưa được kiểu chứng, nhưng anh cũng rất vui.

Ấn tượng của anh Hiếu về Nam Cực còn là phong cảnh băng tuyết trắng xoá khắp nơi và được chiêm ngưỡng nhiều loài động vật sống ở nơi lạnh giá như chim cánh cụt, hải âu, chim cốc, petrel hay prion...

Vì di chuyển bằng tàu nên đa phần mọi người đều bị say sóng. ""Tour Nam Cực di chuyển chủ yếu bằng tàu thám hiểm trên biển nên say sóng là thử thách cam go nhất cho mọi hành khách. Đã có những thời điểm chúng tôi rất mệt, chưa kể thời tiết rất lạnh, liên tục dưới 0 độ. Dù vậy, cuối cùng mọi người đều vượt qua được hết vì sự vui vẻ và háo hức"", anh Hiếu kể lại.

Đoàn đi lần này phần lớn đều là những người lớn tuổi. Người nhiểu tuổi nhất là U80. Điều đó cho thấy hành trình khám phá Nam Cực không chỉ dành cho người trẻ. ""Bạn chỉ cần mặc áo ấm và làm theo mọi hướng dẫn từ các chuyên gia trên tàu là được"", Florence, trưởng nhóm thám hiểm trên tàu, cho hay.

Một trong những trải nghiệm được du khách trên tàu của anh Hiếu yêu thích là nhảy xuống tắm biển ở sông băng. Thời tiết lạnh giá, nhưng có nhiều người hào hứng tham gia thử thách. Mọi người sau khi nhảy xuống sẽ nhanh chóng trở lại thuyền để sưởi ấm, chứ không ở dưới nước lâu.

Khách Việt chi gần một tỷ đồng đi Nam Cực 23 ngày Các du khách trong đoàn thử thách sức chịu đựng với thời tiết lạnh.

Những ngày sau đó, đoàn còn ghé một số điểm đến trong tour tham quan Nam Cực như cảng Lockroy, nơi có một bưu điện nhỏ, cảng Neko, đảo Deception, cảng Yankee... Thời tiết ngày càng lạnh hơn, mưa tuyết rơi nhiều. Họ phải chia nhau ngồi xuống cao su để tiếp cận các điểm du lịch trên hành trình. Dù lạnh, nhưng trải nghiệm ngồi xuồng ngắm Nam Cực được anh Hiếu nhận xét là ""một điều đáng nhớ trong đời"".

Kết thúc chuyến đi, tàu dừng chân tại cảng ở Ushuaia của Argentina, điểm đến được mệnh danh là ""nơi tận cùng thế giới"". Từ đây, anh Hiếu lên máy bay trở về Việt Nam, kết thúc một hành trình khó quên, theo nhận xét từ nam du khách.

Tổng số tiền cho chuyến đi là 850 triệu đồng một người, gồm vé máy bay, tiền tour, ăn ở và phí làm visa.

Anh Hiếu chụp ảnh lưu niệm ở Ushuaia, thành phố được mệnh danh là ""nơi tận cùng thế giới"" ở Argentina.

Lịch trình cụ thể của anh Hiếu

Phương Anh

Video, Ảnh: NVCC"
https://vnexpress.net/da-dat-phong-qua-mang-nhung-khong-co-phong-phai-lam-gi-4544358.html,"Đã đặt phòng qua mạng nhưng không có phòng, phải làm gì?","Tôi đã đặt phòng qua một trang web uy tín, thanh toán đầy đủ, nhưng đến nơi không có hoặc không đủ phòng, ai chịu trách nhiệm?

Tôi ở TP HCM, trong ba tháng qua đã hai lần gặp vấn đề với việc đặt phòng qua một website nổi tiếng thế giới, ở Rạch Giá và Đà Lạt. Tôi đã trả tiền, nhận được mail confirm, có mã ID rõ ràng, nhưng không có phòng khi đến hoặc không đủ số lượng phòng đặt ban đầu.

Đơn vị đặt phòng đã có đền bù tiền sau khi tôi nhiều lần liên hệ phản ánh trực tiếp. Nhưng liệu điều này có xảy ra lần nữa? Nó ảnh hưởng tới niềm tin của tôi, và khiến các chuyến du lịch bỗng dưng thành những kỷ niệm không tốt đẹp.

Trách nhiệm của bên nhận đặt phòng thế nào? Tôi sẽ phải làm gì để điều này không xảy ra nữa?

Xin cảm ơn.

Thái Đào"
https://vnexpress.net/cho-phien-ha-giang-ngay-dau-dong-4543987.html,Chợ phiên Hà Giang ngày đầu đông,"Cao Nguyên Đá Đồng Văn trải rộng trên bốn huyện Quản Bạ, Yên Minh, Đồng Văn, Mèo Vạc của tỉnh Hà Giang là nơi sinh sống của gần 300.000 người dân thuộc 17 dân tộc thiểu số khác nhau như Mông, Dao, Tày, Nùng, Pà Thẻn, Lô Lô… với những tập tục sinh hoạt và sản vật riêng. Để giúp người dân thuận tiện trong mua bán, trao đổi hàng hoá, chợ phiên được tổ chức định kỳ hàng tuần tại trung tâm những thị trấn lớn như Mèo Vạc, Má Lé.

Minh Thiên, sinh viên Đại học Quốc tế - Đại học quốc gia TP HCM, có chuyến đi dài ngày đến Hà Giang cuối tháng 11 và chụp bộ ảnh các khu chợ này."
https://vnexpress.net/truyen-thong-ngu-leu-cua-chu-nha-world-cup-2022-4543992.html,Truyền thống ngủ lều của chủ nhà World Cup 2022 - VnExpress,"QatarNhững chiếc lều phong cách Bedouin xuất hiện ở làng cổ động viên dịp World Cup 2022 phản ánh lối sống du mục của người dân trước đây.

Khi Qatar đăng cai World Cup 2022, chính quyền nước này thông báo về việc xây dựng hơn 1.000 chiếc lều theo phong cách Bedouin tại các làng cổ động viên để làm chỗ ăn ngủ phục vụ du khách. Lều được làm từ vải bạt, hình chóp và màu trắng, diện tích đủ để kê hai giường đơn và lối đi.

Những chiếc lều này ngoài việc tiết kiệm kinh phí xây dựng và thời gian, chúng còn mang đến một thông điệp văn hóa của Qatar. Đó chính là truyền thống ngủ lều ở sa mạc.

Lều Bedouin - nơi sinh hoạt chính của người dân du mục trên sa mạc trước đây. Ngày nay, loại hình lều này được xây dựng chủ yếu phục vụ du khách, những người muốn trải nghiệm văn hóa khi đến đây du lịch. Ảnh: Arabia Travel News

Tổ tiên của người Qatar hầu hết đến từ Bedouin - bộ tộc du mục sống trên những sa mạc ở Trung Đông trong nhiều thế kỷ. Theo truyền thống, người Bedouin sống bằng nghề chăn nuôi gia súc như cừu, dê... cũng như kinh doanh thịt, sữa và len. Do đó, lều của họ cũng được dệt từ lông động vật. Lều này người dân địa phương gọi là ""bayt al sha'ar.r"". Đây là nơi diễn ra phần lớn hoạt động của họ gồm ăn, chơi, ngủ nghỉ cho đến tránh mưa, nắng hay bão cát sa mạc.

Lều dù được xây dựng theo lối thô sơ, thì mỗi căn cũng đều được phân chia công năng rõ ràng. Mỗi lều đều có chỗ nghỉ ngơi riêng tư và phần để gia đình tụ họp, hay tiếp đãi khách đến chơi nhà.

Một số lều trong làng cổ động viên tại World Cup 2022. Ảnh: AP

Người Bedouin nổi tiếng vì lòng hiếu khách. Theo truyền thống, không có vị khách nào, dù là người lạ, bị từ chối hay đuổi ra khỏi lều. Thay vào đó, họ cung cấp thức ăn, nước uống và chỗ để nghỉ ngơi tối đa ba ngày cho những người cơ nhỡ đó.

Khi có khách, những người đàn ông trong bộ lạc sẽ đón tiếp long trọng, trong một majlis (khu tiếp khách có sàn trải thảm, đệm bao quanh một bếp lửa để pha cà phê). Họ sẽ chiêu đãi khách đến chơi nhà món cà phê Ảrập (kahwa), trò chuyện. Majlis cũng là nơi để nam giới trong bộ lạc hội họp, giao lưu, ăn mừng hay bàn luận các vấn đề.

Đàn ông và phụ nữ của bộ lạc Bedouin đều mặc áo choàng dài, rộng, khăn trùm đầu. Đàn ông thường mặc áo màu trắng, còn phụ nữ là áo choàng sẫm màu, có thêm niqab (khăn che mặt).

Người đứng đầu một bộ lạc là Sheikh. Chức vị này thường cha truyền con nối. Các bộ lạc thường hoạt động theo chế độ phụ hệ, nam giới nắm quyền. Phụ nữ chịu trách nhiệm chăm sóc gia đình, cho gia súc ăn và vắt sữa, nuôi dạy con cái... Đàn ông chăn thả các loại da sức lớn hơn như lạc đà, ngựa, buôn bán và bảo vệ bộ lạc. Họ cũng đảm nhận vai trò thợ săn, tìm thức ăn bằng chim ưng và chó săn giống saluki.

Sân vận động Al Bayt ở Qatar có hình dáng như một chiếc lều. Ảnh: Qibs

Ngày nay, lối sống du mục và ngủ lều này vẫn tồn tại, nhưng ít. Lý do là phần lớn người dân đã định cư trong các khu đô thị được xây dựng kiên cố. Mặc dù đại đa số người dân Qatar có cuộc sống phát triển, giàu có, những truyền thống cốt lõi, cách sống và tín ngưỡng của họ đến nay vẫn được giữ nguyên như người Bedouin cổ xưa. Những chiếc lều Bedouin ngày nay được làm từ những loại vải có chất liệu bền, chống thấm và giảm nhiệt. Du khách đến Qatar ngoài thuê khách sạn, cũng có thể trải nghiệm ngủ lều như cổ động viên dịp World Cup.

Anh Minh (Theo Living in)"
https://vnexpress.net/fan-argentina-duoc-bay-thang-sang-qatar-xem-tu-ket-4543943.html,Fan Argentina được bay thẳng sang Qatar xem tứ kết - VnExpress,"Hãng hàng không Argentina, Aerolíneas, sẽ tổ chức một chuyến bay thẳng chở cổ động viên đến Qatar xem tứ kết World Cup 2022, thay vì nối chuyến.

Thông báo này được đưa ra ngay sau khi Argentina đánh bại Australia để giành quyền vào tứ kết World Cup 2022. Chuyến bay đưa các cổ động viên tới Doha, Qatar sẽ cất cánh từ sân bay quốc tế Ezeiza, Buenos Aires vào 6/12. Họ sẽ có mặt tại Doha ngày 7/12 để kịp cổ vũ tuyển quốc gia đấu với Hà Lan.

Hiện muốn tới Doha, hành khách từ Argentina sẽ phải nối 1-3 chuyến bay, với thời gian chờ đợi có thể lên tới gần một ngày. Tần suất chuyến bay cũng bị giới hạn.

Thay vì phải bay nối chuyến, fan Argentina có thể bay thẳng tới Doha cổ vũ tuyển quốc gia trên các chuyến bay của Aerolíneas. Ảnh: Skyteam

Pablo Ceriani, đại diện hãng Aerolíneas Argentinas, cho biết: ""Chúng tôi rất vui khi giúp các cổ động viên sát cánh cùng đội tuyển"". Hãng cũng dự kiến thực hiện nhiều chuyến bay thẳng tới Quatar thời gian tới nếu Messi và đồng đội giành vé vào chung kết.

Chiến thắng trước Australia là trận đấu thứ 1.000 của Messi trong sự nghiệp thi đấu chuyên nghiệp của mình. Anh cùng các đồng đội đã có khởi đầu khó khăn tại World Cup 2022 sau trận thua Saudi Arabia 1-2. Nhưng sau đó đội đã thắng Mexico 2-0 và Ba Lan 2-0. Cổ động viên Argentina đang mong đội nhà sẽ vượt qua Hà Lan để vào bán kết.

Anh Minh (Theo Telam)"
https://vnexpress.net/mua-co-hong-da-lat-4543830.html,Mùa cỏ hồng Đà Lạt,"Cỏ hồng đang nở khắp nơi tại Đà Lạt, ở những ngọn đồi dưới tán rừng thông hay trong khuôn viên các điểm du lịch như thung lũng Vàng, khu vực đồi trọc, cây cô đơn Dankia hoặc xa hơn về ngoại thành là đồi Masara.

Trên ảnh là đồi cỏ hồng La An, gần làng Cù Lần, cách trung tâm TP Đà Lạt 9 km. Loài cỏ dại này thường nở đến dịp Noel, nên còn được gọi bằng tên ""cỏ Noel""."
